PREFIX,COUNTRY,CQ-ZONE,ITU-ZONE
FO,French Polynesia,32,63
FOo,Clipperton Isl.,07,10
FOo,Marquesas,31,63
FOo,Austral Isl.,32,63
FP,St. Pierre & Miquelon,05,09
FR,Reunion,39,53
FR/J,Juan de Nova,39,53
FR/G,Glorioso,39,53
FR/T,Tromelin,39,53
FT8W,Crozet Isl.,39,68
FT8X,Kerguelen Isl.,39,68
FT8Z,Amsterdam & St. Paul Isl.,39,68
FW,Wallis & Futuna Isl.,32,62
FY,French Guiana,09,12
"G, GX, M",England,14,27
"GD, GT, MD",Isle of Man,14,27
"GI, GN, MI",Northern Ireland,14,27
"GJ, GH, MJ",Jersey,14,27
"GM, GS, MM",Scotland,14,27
"GU, GP, MU",Guernsey & Dep.,14,27
"GW, GC, MW",Wales,14,27
H4,Solomon Isl.,28,51
H4o,Temotu Province,32,51
"HA, HG",Hungary,14,28
HB,Switserland,14,28
HBo,Liechtenstein,14,28
"HC, HD",Ecuador,10,12
"HC8, HD8",Galapagos Isl.,10,12
HH,Haiti,08,11
HI,Dominican Rep.,08,11
"HK, HJ",Colombia,09,12
HKoM,Malpelo Isl.,09,12
HKoS,San Andres & Providencia,07,11
"HL, HM, DS",South Korea,25,44
"HP, HO, 3E",Panama,07,11
"HR, HQ",Honduras,07,11
"HS, E2",Thailand,26,49
HV,Vatican,15,28
"HZ, 7Z",Saudi Arabia,21,39
"I, IA t.m. IZ",Italy,1533,"28, 37"
"ISo, IMo",Sardinia,15,28
J2,Djibouti,37,48
J3,Grenada,08,11
J5,Guinea Bissau,35,46
J6,St. Lucia,08,11
J7,Dominica,08,11
J8,St. Vincent,08,11
JA t.m. JS,Japan,25,45
JD1M,Minami Torishima,27,90
JD1O,Ogasawara,27,45
"JT,JV",Mongolia,23,32
JW,Svalbard Isl.,40,18
JX,Jan Mayen Isl.,40,18
JY,Jordan,20,39
"K, W, N, AA t.m. AK",USA,"3, 4, 5","6, 7, 8"
T8 KC6,West Caroline Isl. Belau,27,64
KG4,Guantanamo Bay,08,11
KH1,Baker & Howland Isl.,31,61
KH2,Guam,27,64
KH3,Johnston Isl.,31,61
KH4,Midway Isl.,31,61
KH5,Palmyra & Jarvis Isl.,31,"61, 62"
KH5K,Kingman Reef,31,61
"KH6, KH7",Hawaii Isl.,31,61
KH7K,Kure Isl.,31,61
KH8,American Samoa,32,62
KH9,Wake Isl.,31,65
KH0,Mariana Isl.,27,64
KL7,Alaska,01,"01, 02"
KP1,Navassa Isl.,08,11
KP2,Virgin Isl. (Maagden Eilanden),08,11
"KP3, KP4",Puerto Rico,08,11
KP5,Desecheo Isl.,08,11
"LA, LN",Norway,14,18
"L, LU, LW",Argentina,13,"14, 15, 16"
LX,Luxembourg,14,27
LY,Lithuania (Litouwen),15,29
LZ,Bulgaria,20,28
"OA, OC",Peru,10,12
OD,Lebanon,20,39
OE,Austria (Oostenrijk),15,28
"OG, OH, OI",Finland,15,18
OHo,Aland Isl.,15,18
"OJo, OHoM",Market Reef,15,18
"OK, OL",Czech Republic,15,28
OM,Slovak Republic,15,28
ON t.m. OT,Belgium,14,27
OX,Greenland,40,"05, 75"
OY,Faroe Isl.,14,18
OZ,Denmark,14,28
P2,Papua New Guinea,28,51
P4,Aruba,09,11
P5,North Korea,25,44
"PA, PB, PD, PE, PI",The Netherlands,14,27
"PJ2, 4, 9","Neth. Antilles Bonaire, Curacao",09,11
"PJ7, 5, 8","St. Maarten, Saba, St. Eustatius",08,11
PP t.m. PY,Brazil,11,"12, 13, 14 ,15"
"PPo ,PYoF",Fernando de Noronha,11,13
"PPo, PYoS",St. Peter & St Paul's Rocks,11,13
PPo PYoT,Trindade & Martim Vaz. Isl.,11,15
PZ,Surinam,09,12
R1FJ*,Franz Josef Land,40,75
R1MV*,Malyj Vysotskij Isl.,16,29
S2,Bangladesh,22,41
S5,Slovenia,15,28
S7,Seychelles,39,53
S9,Sao Tome & Principe,36,47
So,Western Sahara,33,46
SA t.m. SM,Sweden,14,18
"SN t.m. SR, 3Z",Poland,15,28
ST,Sudan,34,48
SU,Egypt,34,38
"SV, SZ, J4",Greece (Griekenland),20,28
"SV5, J45",Dodecanese (Rhodos),20,28
"SV9, J49",Crete,20,28
"SV2A, SY",Mount Athos,20,28
T2,Tuvalu,31,65
T3o,West Kiribati,31,65
T31,Cent. Kiribati,31,62
T32,East Kiribati,31,"61, 62, 63"
T33,Banaba Isl.,31,65
"T5, 6O",Somalia,37,48
T7,San Marino,15,28
T9,Bosnia - Herzegovina,15,28
"TA, TB, TC",Turkey (TA1 behoort tot Europa),20,39
TF,Iceland,40,17
"TG, TD",Guatemala,07,11
"TI, TE",Costa Rica,07,11
TI9,Cocos Isl.,07,11
TJ,Cameroon,36,47
TK,Corsica,15,28
TL,Centr. African Rep.,36,47
TN,Congo,36,52
TR,Gabon,36,52
TT,Chad,36,47
TU,Ivory Coast,35,46
TY,Benin,35,46
TX,Chesterfield Islands,39,53
TZ,Mali,35,46
"UA,1,3, 4, 6, RA - RZ",European Russia,16,"19, 29, 30"
"UA2, RW2",Kaliningrad,15,29
"UA-UI,8,9, o, RA - RZ",Asiatic Russia,"16, 17, 18, 19","21, 27, 30, 33"
UJ t.m. UM,Uzbekistan,17,30
UN t.m. UQ,Kazakhstan,17,293031
"UR t.m. UZ EM, EO",Ukraine,16,29
V2,Antigua & Barbuda,08,11
V3,Belize,07,11
V4,"St. Kits, Nevis",08,11
V5,Namibia,38,57
V6,Frenche State of Micronesia,27,65
V7,Marshall Isl.,31,65
V8,Brunei,28,54
"VE, VC, VO, VY, CI",Canada,01 t.m. 05,02 t.m. 09
VK,Australia,"29, 30","55, 58, 59"
VK9C,Cocos Keeling Isl.,29,54
VK9L,Lord Howe Isl.,30,60
VK9M,Mellish Reef,30,56
VK9N,Norfolk Isl.,32,60
VK9W,Willis Isl.,30,55
VK9X,Christmas Isl.,29,54
VKo,Heard Isl.,39,68
VKo,Macquarie Isl.,30,60
VP2E,Anguilla,08,11
VP2M,Montserrat,08,11
VP2V,Brit. Virgin Isl.,08,11
VP5,Turks & Caicos Isl.,08,11
VP6,Pitcairn Isl.,32,63
VP8,Falkland Isl.,13,16
"VP8, LU",South Georgia Isl.,13,73
"VP8, LU",South Orkney Isl.,13,73
"VP8, LU",South Sandwich Isl.,13,73
"VP8, LU,HFo, CE9",South Shetland Isl.,13,73
VP9,Bermuda,05,11
VQ9,Chagos,39,41
"VS6, VR2",Hong Kong,24,44
VU,India,22,41
VU4,Andaman & Nicobar Isl.,26,49
VU7,Laccadive Isl.,22,41
XA t.m. XI,Mexico,06,10
XA4 t.m. XI4,Revilla Gigedo,06,10
XT,Burkino Fasso,35,46
XU,Kampuchea,26,49
XW,Laos,26,49
XX9,Macao,24,44
"XZ, XY",Myanmar ( Burma),26,49
YA,Afghanistan,21,40
YB t.m. YH,Indonesia,28,"51, 52, 53,54"
YI,Iraq,21,39
YJ,Vanuatu (New Hebrides),32,56
YK,Syria,20,39
YL,Latvia (Letland),15,29
YN,Nicaragua,07,11
YO t.m. YR,Romania,20,28
YS,ElSalvador,07,11
"YU, YT, YZ, 4N,4O",Yugoslavia,15,28
YV t.m. YY,Venezuela,09,12
YVo,AvesIsl.,08,11
Z2,Zimbabwe,38,53
Z3,Macedonia,15,28
ZA,Albania,15,28
ZB2,Gibraltar,14,37
ZC4,British Sov. Base on Cyprus,20,39
ZD7,St.Helena,36,66
ZD8,Ascension Isl.,36,66
ZD9,Tristan Da Cunha & Gough Isl.,38,66
ZF,Cayman Isl.,08,11
ZK1N,Norht Cook Isl.,32,62
ZK1S,South Cook Isl.,32,62
ZK2,Niue,32,62
ZK3,Tokelau,31,62
"ZL, ZM",New Zealand,32,60
ZL7,Chatham Isl.,32,60
ZL8,Kermadec Isl.,32,60
ZL9,Auckland & Campbell Isl.,32,60
ZP,Paraguay,11,14
ZR t.m. ZU,South Africa,38,57
ZS8,Marion & Pr. Edward Isl.,38,57
1A,Sov. Mil. Order of Malta,15,28
"1S, 9Mo",Spratly Isl.,26,50
3A,Monaco (Monte Carlo),14,27
"3B6, 3B7",Agalega & St. Brandon,39,53
3B8,Mauritius,39,53
3B9,Rodrigues Isl.,39,53
3C,Equatorial Guinea,36,47
3Co,Annobon Isl. (Pagalu Isl.).,36,52
3D2,Fiji Isl.,32,56
3D2C,Conway Reef,32,56
3D2R,Rotuma Isl.,32,56
"3DAo, 3D6",Swaziland,38,57
3V,Tunesia,33,37
"3W, XV",Vietnam,26,49
3X,Guinea,35,46
3Y5,Bouvet,38,67
3Yo,Peter 1 Isl.,12,72
"4K, 4J",Azerbaidjan,21,29
4L,Georgia,21,29
4P t.m. 4S,Srilanka,22,41
4U1ITU,I.T.U. Geneve,14,28
4U1UN,Hq. United Nations,05,08
4W,East Timor,28,54
"4X, 4Z",Israel,20,39
5A,Libya,34,38
"5B, C4, P3",Cyprus,20,39
"5H, 5I",Tanzania,37,53
"5N, 5O",Nigeria,35,46
"5R, 5S",Madagascar,39,53
5T,Mauritania,35,46
5U,Niger,35,46
5V,Togo,35,46
5W,Western Samoa,32,62
5X,Uganda,37,48
"5Y, 5Z",Kenya,37,48
"6V, 6W",Senegal,35,46
6Y,Jamaica,08,11
7O,People's Rep. Of Yemen,21,39
7P,Lesotho,38,57
7Q,Malawi,37,53
7T t.m. 7Y,Algeria,33,37
8P,Barbados,08,11
8Q,Maldives,22,41
8R,Guyana,09,12
9A,Croatia,15,28
9G,Ghana,35,46
9H,Malta,15,28
"9J,9I",Zambia,36,53
9K,Kuwait,21,39
9L,Sierra Leone,35,46
"9M2, 4",West Malaysia,28,54
"9M6, 8",East Malaysia,28,54
9N,Nepal,22,42
"9Q, 9T",Rep. of Congo,36,52
9U,Burundi,36,52
9V,Singapore,28,54
9X,Rwanda,36,52
"9Y, 9Z",Trinidad & Tobago,09,11
